week_start,BrandMedia_Addressable/Linear_Spends,BrandMedia_ConnectedTV_Spends,BrandMedia_Default_Spends,BrandMedia_Display_Spends,BrandMedia_LiveStreamVideo_Spends,BrandMedia_OOH_Spends,BrandMedia_Radio_Spends,BrandMedia_Social_Spends,BrandMedia_TotalDigitalVideo_Spends,NonPaid_Apps_Leads,NonPaid_Apps_Visits,NonPaid_Direct_Leads,NonPaid_Direct_Visits,NonPaid_Email_Leads,NonPaid_Email_Visits,NonPaid_OtherProperties_Leads,NonPaid_OtherProperties_Visits,NonPaid_SEO_Leads,NonPaid_SEO_Visits,PerformanceMedia_App_Spends,PerformanceMedia_Display_Leads,PerformanceMedia_Display_Spends,PerformanceMedia_Display_Visits,PerformanceMedia_PaidSearch_Leads,PerformanceMedia_PaidSearch_Spends,PerformanceMedia_PaidSearch_Visits,PerformanceMedia_Partner_Leads,PerformanceMedia_Partner_Visits,PerformanceMedia_Partners_Spends,Total_DeseasonalizedMarketplace_Revenue,Total_Marketplace_SeasonalIndex,Total_Total_Visits
2002/9/19,278906.25,0,0,0,0,0,0,0,0,62464.73333,2143791.3,71190,2695247.567,6429.266667,179376.4,54188.86667,1377148.5,29036,2299406.2,215976.8753,21824.13333,462051.9447,1752939.3,17083.26667,507905.1483,517633.4333,27235.83333,132161.1667,438454.7323,7919354.125,1.064364093,9720555.367
2009/9/19,278906.25,0,0,0,0,0,0,0,0,62464.73333,2143791.3,71190,2695247.567,6429.266667,179376.4,54188.86667,1377148.5,29036,2299406.2,215976.8753,21824.13333,462051.9447,1752939.3,17083.26667,507905.1483,517633.4333,27235.83333,132161.1667,438454.7323,7919354.125,1.064364093,9720555.367
2016/9/19,278906.25,0,0,0,0,0,0,0,0,62464.73333,2143791.3,71190,2695247.567,6429.266667,179376.4,54188.86667,1377148.5,29036,2299406.2,215976.8753,21824.13333,462051.9447,1752939.3,17083.26667,507905.1483,517633.4333,27235.83333,132161.1667,438454.7323,7919354.125,1.064364093,9720555.367
2023/9/19,278906.25,0,0,0,0,0,0,0,0,62464.73333,2143791.3,71190,2695247.567,6429.266667,179376.4,54188.86667,1377148.5,29036,2299406.2,215976.8753,21824.13333,462051.9447,1752939.3,17083.26667,507905.1483,517633.4333,27235.83333,132161.1667,438454.7323,7919354.125,1.064364093,9720555.367
1930/9/19,278906.25,0,0,0,0,0,0,0,0,60376.82366,2088781.19,67278.96774,2626055.496,5961.176344,164420.1032,58547.13763,1355902.984,29329.22581,2378758.794,200917.0109,22274.57204,447181.322,1871503.965,14911.17634,523417.0609,496851.0527,27002.44624,123789.9731,418018.0703,7854563.042,1.036809282,9750160.573
2007/10/19,278906.25,0,0,0,0,0,0,0,0,60028.83871,2079612.839,66627.12903,2614523.484,5883.16129,161927.3871,59273.51613,1352362.065,29378.09677,2391984.226,198407.0335,22349.64516,444702.8848,1891264.742,14549.16129,526002.3797,493387.3226,26963.54839,122394.7742,414611.96,7808686.346,1.036809282,9755094.774
2014/10/19,278906.25,0,0,0,0,0,0,0,0,60028.83871,2079612.839,66627.12903,2614523.484,5883.16129,161927.3871,59273.51613,1352362.065,29378.09677,2391984.226,198407.0335,22349.64516,444702.8848,1891264.742,14549.16129,526002.3797,493387.3226,26963.54839,122394.7742,414611.96,7808686.346,1.036809282,9755094.774
2021/10/19,278906.25,0,0,0,0,0,0,0,0,60028.83871,2079612.839,66627.12903,2614523.484,5883.16129,161927.3871,59273.51613,1352362.065,29378.09677,2391984.226,198407.0335,22349.64516,444702.8848,1891264.742,14549.16129,526002.3797,493387.3226,26963.54839,122394.7742,414611.96,7808686.346,1.036809282,9755094.774
2028/10/19,39843.75,0,0,0,0,0,0,0,0,59590.99355,2070089.094,65191.94516,2590206.819,6037.506452,161290.4355,64026.58065,1358573.123,28836.48387,2400826.329,210673.9307,22007.22581,455594.5012,1963086.71,14865.40645,557924.7174,528507.2129,25210.84194,118754.871,388194.178,7717394.318,1.062837594,9832761.471
2004/11/19,0,0,0,0,0,0,0,0,0,59007.2,2057390.767,63278.36667,2557784.6,6243.3,160441.1667,70364,1366854.533,28114.33333,2412615.8,227029.7937,21550.66667,470116.6563,2058849.333,15287.06667,600487.8343,575333.7333,22873.9,113901.6667,352970.4687,7850645.565,1.062837594,9936317.067
